caseid,tname,tid
5598,Solar8000/ART_DBP,17a997bfa87894432f8560f85350a54d98c43645
5598,Solar8000/ART_SBP,7520c17ffb9b9289481a4d22189fb140cb26d1e1
5628,SNUADC/PLETH,c9000abc4196a23bfdce66ad1cb3f45bc55c593f
5628,Solar8000/ART_DBP,08930343d69e158c76b8903ec9961a41f4486e09
5628,Solar8000/ART_SBP,fc50b5c2cfaa1e89c912fdbd2c593b00a1f8cecf
5717,SNUADC/PLETH,3c6bec2f53f01153c7e76ed666a884776152a7c0
5717,Solar8000/ART_DBP,fe380f0cb0a7bf3bacf50fe28e53148ce5f8f6ef
5717,Solar8000/ART_SBP,5524386408fb404d51438ebe393d185b46295f1d
5725,SNUADC/PLETH,6db59cc59a17eba2cd442806f646a7b40f5a6ad1
5725,Solar8000/ART_DBP,0d246583783621930e022a403274630aca46c5e0
5725,Solar8000/ART_SBP,78bceb96929664eed864d0537006ea9479864019
5734,SNUADC/PLETH,cf773acd1270dd3548ed9e854034d7a408885f4d
5734,Solar8000/ART_DBP,6b1d16a08fd80906ecbb99a4bfe27e26e0360b82
5734,Solar8000/ART_SBP,72e3aa94dc737451f773091616b65b3b5917cb56
5787,SNUADC/PLETH,34cf781bf6a5b2b0d477de1f43995b31ab6549ad
5787,Solar8000/ART_DBP,84599a27cfd0ce985bf32036bb442bb268a1b5e3
5787,Solar8000/ART_SBP,27d48c38216287a41f517bb6c09a5d3a7ec03fe6
5817,SNUADC/PLETH,a034f581b47720e6759a27b38c62f1e751f84860
5817,Solar8000/ART_DBP,1ff0b40d94f73bfa24ca9d860bd6dc3f8028d774
5817,Solar8000/ART_SBP,91b4d277c28c72f82fbd4ac03561a62efc7ef175
5822,SNUADC/PLETH,50f8f4406f68ce1c561a38b1bc24f763d7bf03c9
5822,Solar8000/ART_DBP,f43117739176425614faac1932c36c9c99fc5e4a
5822,Solar8000/ART_SBP,094bdac8dcbbcaa4363902665c933d40e28ce9c0
5839,SNUADC/PLETH,e79ec17235959b666453f5513f7a5b66d7c02f4a
5839,Solar8000/ART_DBP,b54be10b5fd18d3558b7938ed0685229be5ee007
5839,Solar8000/ART_SBP,e33adf6613e8ac16dd8beca6075911927eb223e7
